Stock Symbol,Current Price,Year Target Price,Year High,Year Low
A,48.65,52.03,49.48,34.15
AAN,30.54,34.88,34.22,20.26
AAT,42.60,46.20,46.38,34.07
AB,23.15,24.00,25.00,16.11
ABBV,60.00,69.89,68.12,51.60
ABEV,5.45,5.79,6.34,4.33
ABM,41.37,44.40,45.03,28.45
ABT,41.00,46.85,45.79,36.02
AC,35.20,10.87,35.96,24.67
ACCO,12.90,15.50,14.00,5.79
ACM,37.87,42.92,40.72,22.80
ACP,14.18,<Not Available>,14.60,9.33
ACV,19.56,36.93,19.68,14.58
ADC,46.29,51.20,51.33,35.69
ADPT,7.79,16.36,73.44,7.55
ADX,13.18,<Not Available>,13.35,10.96
AED,25.90,<Not Available>,26.68,23.65
AEG,5.56,5.64,6.09,3.36
AEK,26.23,<Not Available>,28.38,25.04
AEM,45.92,51.53,60.10,28.95
AEP,62.97,67.25,71.32,57.89
AES,11.40,12.43,13.32,8.88
AET,117.45,140.60,136.50,92.42
AF,19.05,17.42,19.26,14.11
AFA,25.12,<Not Available>,26.89,24.16
AFC,25.3486,<Not Available>,26.2800,24.3000
AFGE,26.24,<Not Available>,28.28,24.43
AFI,21.19,19.00,22.00,11.77
AFSS,25.86,<Not Available>,26.81,23.84
AFT,17.73,<Not Available>,18.00,13.71
AG,9.21,11.91,19.15,2.95
AGCO,63.46,56.73,64.38,42.40
AGI,7.58,8.81,10.41,3.11
AGM-A,59.35,<Not Available>,65.96,26.42
AGN,213.20,260.79,301.32,184.50
AGO,39.86,43.25,40.43,21.79
AGR,37.95,41.29,46.74,35.42
AGU,104.29,104.34,111.88,79.94
AHC,6.40,3.00,7.95,4.75
AHL,57.50,53.50,57.80,40.34
AHP,13.96,13.75,17.64,8.37
AHS,33.02,46.93,44.99,21.24
AIB,25.3505,<Not Available>,26.7900,23.0000
AIF,15.91,21.68,15.98,12.43
AIR,32.45,36.00,38.75,18.36
AIV,44.30,47.14,47.91,34.97
AIY,25.85,<Not Available>,27.41,22.73
AJG,54.62,56.36,54.65,37.19
AJX,13.41,16.00,14.48,9.06
AKR,31.36,37.33,38.01,31.11
AL,36.48,44.04,37.24,22.47
ALDW,10.15,10.75,19.39,7.63
ALEX,44.29,49.00,46.43,28.82
ALJ,11.71,12.03,13.01,5.86
ALL,75.59,80.13,75.85,58.29
ALLY,19.71,24.89,20.60,14.84
ALR,38.10,52.00,54.13,31.47
ALSN,35.33,36.06,35.95,20.56
ALX,426.40,460.00,451.99,350.03
AMBR,9.09,13.17,12.30,3.60
AME,51.81,55.80,52.83,42.82
AMG,144.45,185.88,179.85,115.97
AMP,113.40,134.22,119.32,76.00
AMT,103.82,129.80,118.26,83.07
AMX,12.80,13.04,15.95,11.02
ANET,93.78,97.74,103.00,52.51
ANFI,6.00,13.00,14.09,5.52
ANTX,48.5199,<Not Available>,48.5850,40.7200
AOD,7.91,<Not Available>,7.96,6.52
AON,113.39,120.47,116.59,85.91
AP,15.30,16.00,19.22,9.34
APAM,28.10,27.42,35.00,23.65
APC,70.01,80.64,73.33,33.85
APF,14.26,<Not Available>,15.34,11.67
APLE,20.42,19.60,20.68,17.32
APTS,13.79,15.63,15.39,10.66
AR,25.84,34.30,30.66,21.45
ARC,4.81,5.55,5.55,3.06
ARCX,16.10,16.40,17.40,9.50
ARE,112.79,116.42,114.67,70.69
ARES,19.70,20.08,20.95,10.76
ARI,17.37,17.07,18.10,15.03
ARL,6.20,<Not Available>,7.93,3.91
AROC,14.85,13.04,15.70,3.41
ARR,21.50,21.42,23.40,17.51
ARW,72.86,70.89,74.41,49.38
ASB,25.45,24.50,26.00,15.72
ASG,4.31,3.60,4.44,3.45
ASH,118.91,125.00,125.00,88.30
ASR,144.26,168.44,165.40,128.01
AT,2.30,2.52,2.75,1.58
ATHM,31.09,30.33,32.15,19.32
ATKR,26.79,25.17,26.94,14.17
ATR,73.44,76.71,81.50,69.88
ATU,26.75,0.55,29.80,20.54
ATW,13.22,10.56,15.37,4.82
AUO,4.21,3.83,4.42,2.32
AV,11.69,<Not Available>,15.59,9.11
AVAL,8.36,8.58,9.04,5.98
AVD,17.70,18.44,20.00,10.52
AVH,8.74,8.63,10.91,3.80
AVP,5.59,6.45,6.96,2.61
AVV,25.63,<Not Available>,26.95,25.06
AVY,73.77,82.00,79.27,59.38
AWH,53.37,51.71,54.00,30.29
AWK,72.31,79.77,85.24,63.16
AWR,43.84,42.25,47.24,37.28
AXL,20.13,18.80,20.90,11.44
AXON,12.02,27.39,17.66,8.86
AXR,7.007,2.460,8.140,3.660
AXTA,29.23,31.06,30.45,20.67
AYR,22.49,22.77,22.99,15.06
AZO,730.00,878.59,819.54,681.01
